BRAND,TYPE,CC,TRANS,FUEL,TANK_CAPT,GVW (Kg),GEAR_RATIO,WHEEL_&_TYRE_SIZE,HP,WHEEL_BASE,Dimention,SEATER,DRIVE_SYS,penggerak,SPEED,DOOR,WHEELS,CBU/CKD,ORIGIN COUNTRY
TOYOTA,Supra 3.0 A/T,2459,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan
TOYOTA,86 MT,2000,MT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan
AUDI,RS4 4.2 AT,4200,AT,G,61,-,-,265/30/R20,450,2813,4719 x  1850 x  1416,5,4X4,4WD,250,4,4,CBU,Germany
BMW,7E06 730LI,2993,AT,D,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,INA
BMW,JF02 M5,4400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
BMW,BC42 M850I XDRIVE,4400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
BMW,GV22 840I,4395,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,4,CBU,Germany
BMW,GV02 M8,4400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
BMW,AE02 M8,4395,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany
BMW,2Z62 I8,2993,AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-
HYUNDAI - HIM,Genesis,3800,AT,G,-,-,-,-,-,-,-,4,4X2,-,-,4,4,CBU,Korea
LEXUS,Lexus  LS 500,3445,AT,G,0,2760,-,245 / 45 R20,-,3125,5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan
MERCEDES-BENZ - PC,E 53 4 Matic  Estate (S213)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-
MERCEDES-BENZ - PC,C 43 Coupe (C205)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-
MERCEDES-BENZ - PC,C 43 Estate 4M (S205)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-
MERCEDES-BENZ - PC,C 43 (W205),3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-
MERCEDES-BENZ - PC,GT 53 4MATIC+ (X290)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-
MERCEDES-BENZ - PC,S 560 (X222)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-
AUDI,A3 1.2 TFSI A/T,1275,AT,G,63,1455,3400,225/50/R17,170,2808,4701 x  1826 x  1427,5,4X2,FF,225,4,4,CBU,Germany
BMW,YH12 X2 SDRIVE18I,1500,AT,-,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,Germany
BMW,8P62 I3 120,-,AT,HYBRID,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Germany
BMW,32AA  X1 SDRIVE18I,1499,AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,4,CBU,Germany
CHEVROLET,Aveo 1.4 LT,1398,AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,Thailand
CHEVROLET,Spark 1.4L,1400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,South Korea
CHEVROLET,Trax  1.4L,1398,AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,South Korea
DAIHATSU,Grand New  Xenia 1.3 X MT,1329,MT,G,45,1120,5125,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA
DAIHATSU,Grand New  Xenia 1.3 X AT,1329,AT,G,45,1130,5571,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA
DAIHATSU,Grand New  Xenia 1.3 R MT,1329,MT,G,45,1110,5125,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA
DAIHATSU,Grand New  Xenia 1.3 R AT,1329,AT,G,45,1120,5571,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA
DAIHATSU,Grand New  Xenia 1.5 R MT,1496,MT,G,45,1120,4875,185/70R14,104,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA
DAIHATSU,Grand New  Xenia 1.5 R AT,1496,AT,G,45,1130,5125,185/70R14,104,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA
