,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BRAND,TYPE MODEL,CC,TRANS,FUEL,TANK CAPT,GVW (Kg),GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,ORIGIN COUNTRY
,All New  Camry  2.5 G,2500,AT,G,70,1465,3815,215/60R16,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand
,All New  Camry  2.5 V,2500,AT,G,70,1465,3815,215/55R17,181 / 6000,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand
,All New  Camry  2.5 Hybrid Mi,2500,AT,HYBRID,65,1625,3542,215/55R17,156.6 /5700,2775,4825X1825X1470,5,4X2,FF,-,4,4,CBU,Thailand
,86 AT,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan
,86 TRD,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan
,86 Aero,2000,AT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan
,Crow n 2.5 Hybrid,2500,AT,HYBRID,-,-,-,-,-,-,-,5,4X2,FR,-,4,4,CBU,Japan
,Supra 3.0 A/T,2459,AT,G,50,-,-,-,-,-,-,5,4X2,FR,6,4,4,CBU,Japan
,86 MT,2000,MT,G,50,-,-,215/45/R17,147 / 6.800,2570,4240X1775X1285,5,4X2,FR,-,4,4,CBU,Japan
TOTAL,,,,,,,,,,,,,,,,,,,
CUMULATIVE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
AUDI,RS4 4.2 AT,4200,AT,G,61,-,-,265/30/R20,450,2813,4719 x  1850 x  1416,5,4X4,4WD,250,4,4,CBU,Germany
BMW,7E06 730LI,2993,AT,D,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,INA
,JF02 M5,4400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
,BC42 M850I XDRIVE,4400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
,GV22 840I,4395,AT,G,-,-,-,-,-,-,-,-,-,-,-,-,4,CBU,Germany
,GV02 M8,4400,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,Germany
,AE02 M8,4395,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,4,CBU,Germany
,2Z62 I8,2993,AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,4,4,-,-
HYUNDAI - HIM,Genesis,3800,AT,G,-,-,-,-,-,-,-,4,4X2,-,-,4,4,CBU,Korea
LEXUS,Lexus  LS 500,3445,AT,G,0,2760,-,245 / 45 R20,-,3125,5235X1900X1450,4,4X2,FR,10,4,4,CBU,Japan
MERCEDES-BENZ - PC,E 53 4 Matic  Estate (S213)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-
,C 43 Coupe (C205)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-
,C 43 Estate 4M (S205)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-
,C 43 (W205),3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-
,GT 53 4MATIC+ (X290)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-
,S 560 (X222)*,3982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,-
TOTAL,,,,,,,,,,,,,,,,,,,
CUMULATIVE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BRAND,TYPE MODEL,CC,TRANS,FUEL,TANK CAPT,GVW (Kg),GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD,ORIGIN COUNTRY
AUDI,A3 1.2 TFSI A/T,1275,AT,G,63,1455,3400,225/50/R17,170,2808,4701 x  1826 x  1427,5,4X2,FF,225,4,4,CBU,Germany
BMW,YH12 X2 SDRIVE18I,1500,AT,-,-,-,-,-,-,-,-,-,4X2,FF,-,-,-,CBU,Germany
,8P62 I3 120,-,AT,HYBRID,-,-,-,-,-,-,-,-,-,-,-,-,-,CBU,Germany
,32AA  X1 SDRIVE18I,1499,AT,G,-,-,-,-,-,-,-,-,4X2,FF,-,-,4,CBU,Germany
